Time,X,Y,Z,Model
0,-0.0068205071564561865,-0.2283579490103206,9.724391715432528,Constant Velocity
5,1.3164000279810137,1.8018153470706304,10.078978850363194,Constant Velocity
10,1.5216450083059574,2.1392171601321315,9.73465156980449,Constant Velocity
15,3.543658617087303,2.9544492832193323,9.994501611092549,Constant Velocity
20,3.0881329676238067,3.8980369033927103,9.898050069078678,Constant Velocity
25,4.899112090258062,5.393223069149581,9.798556504218864,Constant Velocity
30,6.012400633098822,6.554570406124777,10.126261554456635,Constant Velocity
35,6.925535265634849,8.627909324496958,9.831701831567113,Constant Velocity
40,7.830579516546655,8.064459996502903,10.019686800905225,Constant Velocity
45,9.351925031639803,8.674241204587787,9.89873165440533,Constant Velocity
50,10.38837350751725,10.012782518095785,10.035073568759795,Constant Velocity
55,11.163631183077984,11.923420910242141,9.98639788209264,Constant Velocity
60,11.862653834711438,11.844415140693837,9.731983196149907,Constant Velocity
65,12.803506687232643,12.248274804274095,9.865049397164206,Constant Velocity
70,14.078983711343952,14.343564107091042,10.231169331125399,Constant Velocity
75,15.23175192668791,15.39710886907348,9.905249627101155,Constant Velocity
80,16.06418671619952,16.985742881686676,10.00703421262985,Constant Velocity
85,16.58596937173344,17.107001652115162,10.052445861974515,Constant Velocity
90,18.830408662351964,17.84926085693409,10.050883714958905,Constant Velocity
95,19.81237695197548,19.352657770803734,9.827418247357798,Constant Velocity
100,19.673873422487894,20.939952855461307,9.813915167513334,Constant Velocity
105,20.868518936778802,20.80869675599792,9.91994887076274,Constant Velocity
110,22.60117629852847,22.233186005730676,10.103836402888646,Constant Velocity
115,22.57017595963141,23.659332488375547,9.968188975462725,Constant Velocity
120,24.310495612528648,24.232827278548296,10.143688080284006,Constant Velocity
125,24.44221299702881,23.849383742325422,9.767594295635302,Constant Acceleration
130,25.148742054954113,22.972821716408326,9.966079091062785,Constant Acceleration
135,25.208212902581735,22.730796092076773,9.968756954524604,Constant Acceleration
140,25.499872057579868,21.943218525788573,10.091594296548775,Constant Acceleration
145,26.272425532505952,20.899659103408307,10.075070371111435,Constant Acceleration
150,26.85986532651957,21.325890650624803,9.978056641939014,Constant Acceleration
155,27.399316983801207,18.493074675901404,10.021529318718171,Constant Acceleration
160,27.92065426374529,19.15132750712292,9.969190445675656,Constant Acceleration
165,27.778709479894275,18.357632533102926,10.0126275677925,Constant Acceleration
170,28.843311477380073,18.70534258603233,9.987402216031857,Constant Acceleration
175,29.78650390574846,17.757838211185714,9.963462597115033,Constant Acceleration
180,29.152783869902713,17.579242478266863,10.19615427156478,Constant Acceleration
185,29.608217750946757,15.87175657875499,9.817391103522318,Constant Acceleration
190,30.13069226643187,16.42843937449895,9.92471787766642,Constant Acceleration
195,30.377024154188366,15.236154713102312,9.741630279791693,Constant Acceleration
200,30.75013386016665,14.62883023432827,9.99277353910504,Constant Acceleration
205,31.32482128355103,13.754914480337126,10.080704439498838,Constant Acceleration
210,31.234416254606916,13.053760978944043,9.85690511069594,Constant Acceleration
215,31.83054499987073,12.258417848202392,9.705460909289908,Constant Acceleration
220,32.13334230142329,11.591936756407256,10.112425722012622,Constant Acceleration
225,32.54390413167914,10.871893183951881,9.888374353724009,Constant Acceleration
230,32.24768599854075,9.385546315453297,10.047714606560637,Constant Acceleration
235,33.09412042350121,9.68246048440577,10.006930905553924,Constant Acceleration
240,32.76180260865479,9.230886751116769,10.059930798439943,Constant Acceleration
245,32.83471551530543,8.134379949310011,9.970567128971515,Constant Acceleration
250,32.5913397294868,7.37261885316756,9.812753058728243,Constant Acceleration
255,33.57956362173495,6.735795982230002,10.012677375691215,Constant Acceleration
260,33.84521460152719,5.034230950638315,9.922833897572486,Constant Acceleration
265,33.3008351278157,5.0586281380838,10.179106140338172,Constant Acceleration
270,32.90182048276456,4.3284611523148095,9.709452656193458,Constant Acceleration
275,33.8619261294435,4.062007610958469,9.937813917197756,Constant Acceleration
280,33.55465266354167,2.388700333732046,9.984012030033398,Constant Acceleration
285,33.78233376422541,2.0807642917349325,10.063463793440858,Constant Acceleration
290,34.01389497159806,1.1085570746154945,9.800912577189044,Constant Acceleration
295,34.16290362503206,0.6998889711734205,10.114055270873562,Constant Acceleration
300,33.19800089283119,-0.3587647801422725,9.77851870317174,Constant Acceleration
305,33.16577746596185,-0.699195431727466,9.88520855620119,Constant Velocity
310,31.681537071399287,-3.227533012416461,9.869979902508087,Constant Velocity
315,31.4054148576305,-2.992302974778609,10.192938724542763,Constant Velocity
320,30.044435458864193,-4.8628265585098385,10.03350348361845,Constant Velocity
325,28.385485485751612,-5.299647220703077,9.978213433973604,Constant Velocity
330,27.994290871852737,-5.98143561352488,10.025881521818514,Constant Velocity
335,26.928901271845834,-6.554568475865052,10.026444069591292,Constant Velocity
340,26.16125732392152,-6.946655538268654,10.077529765919639,Constant Velocity
345,25.017580978328205,-8.065907648582154,9.661655512446291,Constant Velocity
350,24.301475493076868,-9.38666452339429,9.814542960346888,Constant Velocity
355,22.730710232485038,-10.60938762116191,9.990670158319945,Constant Velocity
360,21.531986536767157,-11.702554299044197,9.943443044566605,Constant Velocity
365,21.61442146488426,-11.570109178420156,10.030164494865105,Hovering
370,22.175034109265997,-12.304176947781901,10.0259814507111,Hovering
375,22.699761195826767,-11.945223209531417,10.028777908743473,Hovering
380,23.42427330546227,-11.53210423469687,10.07515747191443,Hovering
385,22.006365194139512,-11.578015956341059,9.88560868066641,Hovering
390,21.809007084050638,-11.475870183881709,10.055796277120587,Hovering
395,22.688199434177058,-12.298454969356523,10.04931464570506,Hovering
400,22.394943598878516,-10.625732932466002,10.091718157953494,Hovering
405,21.848496423147335,-12.604620928910064,9.96277404127853,Hovering
410,22.639832641455186,-12.233359755636384,9.892760563893777,Hovering
415,21.761285278514833,-11.201901163256494,9.94443093594781,Hovering
420,22.218842015454868,-11.274503342797034,9.955695794367564,Hovering
425,22.168156074257062,-12.254519059589512,10.137031166836811,Hovering
430,22.494244690629504,-12.261905691807138,9.997954650256853,Hovering
435,22.785771784649338,-11.432767982749125,10.184734775298352,Hovering
440,21.664265120434955,-12.073435949901974,10.267271398535495,Hovering
445,21.709255079245125,-12.690394483811145,10.162103392362456,Hovering
450,22.397143761470176,-12.938491319149177,9.863331636141384,Hovering
455,22.017761316074925,-11.440740030842488,9.915830368893097,Hovering
460,21.692087059249666,-11.081054493287114,9.991670066054493,Hovering
465,21.793774335356797,-11.550614430180822,10.142565657598093,Hovering
470,22.056652617222724,-10.647719266536672,9.667599634364203,Hovering
475,23.0714896633874,-11.523299358050158,10.012084352656906,Hovering
480,21.293466474515867,-11.511196681035395,10.010237937580778,Hovering
485,22.502343924260312,-12.325011770271443,10.48949934219339,Constant Acceleration
490,22.29199752849646,-11.213485521717407,11.63618227830537,Constant Acceleration
495,22.123936943906603,-12.11097669059723,14.5694869937978,Constant Acceleration
500,21.507417192901794,-11.782450610805036,18.04761134553294,Constant Acceleration
505,21.979059403875365,-11.668808535411129,23.30139002465247,Constant Acceleration
510,22.428797285114012,-11.89717203355477,29.887325473372993,Constant Acceleration
515,22.929662409589312,-11.653232328497149,34.035830218630196,Hovering
520,22.2188387334223,-11.766470997245316,33.999754533415995,Hovering
525,22.43065228181854,-11.532221421044506,33.819454087242974,Hovering
530,21.96193800502357,-11.28794524596087,33.892766122239514,Hovering
535,22.10308873372405,-11.778676013510593,33.87925396376372,Hovering
540,21.82515274723947,-11.261414139419612,34.19822477874617,Hovering
545,21.79754053607095,-12.068066148745363,34.14804254928086,Hovering
550,22.272662339150695,-11.225515155107598,33.88924768317778,Hovering
555,21.64642808824056,-12.34752484633346,33.49907069742999,Hovering
560,21.669357230391068,-12.42049477810189,34.07006448427919,Hovering
565,21.271085838551382,-12.395027422527432,33.92967265795755,Hovering
570,22.454705874252273,-11.105086723347357,33.94967935572272,Hovering
575,21.881121904805312,-10.964889056303075,34.13415521574829,Hovering
580,21.844272839245672,-12.334788801779565,33.96327192617471,Hovering
585,22.890154538662816,-12.230446559456269,34.258993397330855,Hovering
590,21.6786602830707,-11.460860302650975,34.051436045262825,Hovering
595,22.49515968587582,-11.443470083777536,34.137033476889364,Hovering
600,22.27240727191798,-11.73298290825782,34.279200204663304,Hovering
605,22.356126463225262,-12.391879611975599,34.04644156537042,Hovering
610,21.60489053454242,-11.718386779031514,34.09258757234038,Hovering
615,22.010590281445737,-12.010011508533008,34.00004369695149,Hovering
620,21.42911070560251,-12.858989390612628,33.74620373549744,Hovering
625,22.436581299169944,-11.729858904290598,33.781623665416454,Hovering
630,22.808465909845726,-11.360676656189952,33.81643179171145,Hovering
