Time,X,Y,Z,Model
0,0.0,0.0,10.0,Constant Velocity
1,0.2,0.2,10.0,Constant Velocity
2,0.4,0.4,10.0,Constant Velocity
3,0.6000000000000001,0.6000000000000001,10.0,Constant Velocity
4,0.8,0.8,10.0,Constant Velocity
5,1.0,1.0,10.0,Constant Velocity
6,1.2000000000000002,1.2000000000000002,10.0,Constant Velocity
7,1.4000000000000001,1.4000000000000001,10.0,Constant Velocity
8,1.6,1.6,10.0,Constant Velocity
9,1.8,1.8,10.0,Constant Velocity
10,2.0,2.0,10.0,Constant Velocity
11,2.2,2.2,10.0,Constant Velocity
12,2.4000000000000004,2.4000000000000004,10.0,Constant Velocity
13,2.6,2.6,10.0,Constant Velocity
14,2.8000000000000003,2.8000000000000003,10.0,Constant Velocity
15,3.0,3.0,10.0,Constant Velocity
16,3.2,3.2,10.0,Constant Velocity
17,3.4000000000000004,3.4000000000000004,10.0,Constant Velocity
18,3.6,3.6,10.0,Constant Velocity
19,3.8000000000000003,3.8000000000000003,10.0,Constant Velocity
20,4.0,4.0,10.0,Constant Velocity
21,4.2,4.2,10.0,Constant Velocity
22,4.4,4.4,10.0,Constant Velocity
23,4.6000000000000005,4.6000000000000005,10.0,Constant Velocity
24,4.800000000000001,4.800000000000001,10.0,Constant Velocity
25,5.0,5.0,10.0,Constant Velocity
26,5.2,5.2,10.0,Constant Velocity
27,5.4,5.4,10.0,Constant Velocity
28,5.6000000000000005,5.6000000000000005,10.0,Constant Velocity
29,5.800000000000001,5.800000000000001,10.0,Constant Velocity
30,6.0,6.0,10.0,Constant Velocity
31,6.2,6.2,10.0,Constant Velocity
32,6.4,6.4,10.0,Constant Velocity
33,6.6000000000000005,6.6000000000000005,10.0,Constant Velocity
34,6.800000000000001,6.800000000000001,10.0,Constant Velocity
35,7.0,7.0,10.0,Constant Velocity
36,7.2,7.2,10.0,Constant Velocity
37,7.4,7.4,10.0,Constant Velocity
38,7.6000000000000005,7.6000000000000005,10.0,Constant Velocity
39,7.800000000000001,7.800000000000001,10.0,Constant Velocity
40,8.0,8.0,10.0,Constant Velocity
41,8.200000000000001,8.200000000000001,10.0,Constant Velocity
42,8.4,8.4,10.0,Constant Velocity
43,8.6,8.6,10.0,Constant Velocity
44,8.8,8.8,10.0,Constant Velocity
45,9.0,9.0,10.0,Constant Velocity
46,9.200000000000001,9.200000000000001,10.0,Constant Velocity
47,9.4,9.4,10.0,Constant Velocity
48,9.600000000000001,9.600000000000001,10.0,Constant Velocity
49,9.8,9.8,10.0,Constant Velocity
50,10.0,10.0,10.0,Constant Velocity
51,10.200000000000001,10.200000000000001,10.0,Constant Velocity
52,10.4,10.4,10.0,Constant Velocity
53,10.600000000000001,10.600000000000001,10.0,Constant Velocity
54,10.8,10.8,10.0,Constant Velocity
55,11.0,11.0,10.0,Constant Velocity
56,11.200000000000001,11.200000000000001,10.0,Constant Velocity
57,11.4,11.4,10.0,Constant Velocity
58,11.600000000000001,11.600000000000001,10.0,Constant Velocity
59,11.8,11.8,10.0,Constant Velocity
60,12.0,12.0,10.0,Constant Velocity
61,12.200000000000001,12.200000000000001,10.0,Constant Velocity
62,12.4,12.4,10.0,Constant Velocity
63,12.600000000000001,12.600000000000001,10.0,Constant Velocity
64,12.8,12.8,10.0,Constant Velocity
65,13.0,13.0,10.0,Constant Velocity
66,13.200000000000001,13.200000000000001,10.0,Constant Velocity
67,13.4,13.4,10.0,Constant Velocity
68,13.600000000000001,13.600000000000001,10.0,Constant Velocity
69,13.8,13.8,10.0,Constant Velocity
70,14.0,14.0,10.0,Constant Velocity
71,14.200000000000001,14.200000000000001,10.0,Constant Velocity
72,14.4,14.4,10.0,Constant Velocity
73,14.600000000000001,14.600000000000001,10.0,Constant Velocity
74,14.8,14.8,10.0,Constant Velocity
75,15.0,15.0,10.0,Constant Velocity
76,15.200000000000001,15.200000000000001,10.0,Constant Velocity
77,15.4,15.4,10.0,Constant Velocity
78,15.600000000000001,15.600000000000001,10.0,Constant Velocity
79,15.8,15.8,10.0,Constant Velocity
80,16.0,16.0,10.0,Constant Velocity
81,16.2,16.2,10.0,Constant Velocity
82,16.400000000000002,16.400000000000002,10.0,Constant Velocity
83,16.6,16.6,10.0,Constant Velocity
84,16.8,16.8,10.0,Constant Velocity
85,17.0,17.0,10.0,Constant Velocity
86,17.2,17.2,10.0,Constant Velocity
87,17.400000000000002,17.400000000000002,10.0,Constant Velocity
88,17.6,17.6,10.0,Constant Velocity
89,17.8,17.8,10.0,Constant Velocity
90,18.0,18.0,10.0,Constant Velocity
91,18.2,18.2,10.0,Constant Velocity
92,18.400000000000002,18.400000000000002,10.0,Constant Velocity
93,18.6,18.6,10.0,Constant Velocity
94,18.8,18.8,10.0,Constant Velocity
95,19.0,19.0,10.0,Constant Velocity
96,19.200000000000003,19.200000000000003,10.0,Constant Velocity
97,19.400000000000002,19.400000000000002,10.0,Constant Velocity
98,19.6,19.6,10.0,Constant Velocity
99,19.8,19.8,10.0,Constant Velocity
100,20.0,20.0,10.0,Constant Velocity
101,20.200000000000003,20.200000000000003,10.0,Constant Velocity
102,20.400000000000002,20.400000000000002,10.0,Constant Velocity
103,20.6,20.6,10.0,Constant Velocity
104,20.8,20.8,10.0,Constant Velocity
105,21.0,21.0,10.0,Constant Velocity
106,21.200000000000003,21.200000000000003,10.0,Constant Velocity
107,21.400000000000002,21.400000000000002,10.0,Constant Velocity
108,21.6,21.6,10.0,Constant Velocity
109,21.8,21.8,10.0,Constant Velocity
110,22.0,22.0,10.0,Constant Velocity
111,22.200000000000003,22.200000000000003,10.0,Constant Velocity
112,22.400000000000002,22.400000000000002,10.0,Constant Velocity
113,22.6,22.6,10.0,Constant Velocity
114,22.8,22.8,10.0,Constant Velocity
115,23.0,23.0,10.0,Constant Velocity
116,23.200000000000003,23.200000000000003,10.0,Constant Velocity
117,23.400000000000002,23.400000000000002,10.0,Constant Velocity
118,23.6,23.6,10.0,Constant Velocity
119,23.8,23.8,10.0,Constant Velocity
120,24.0,24.0,10.0,Constant Velocity
121,24.104490960131542,23.89505211446371,10.0,Constant Acceleration
122,24.208523005501082,23.789649301579136,10.0,Constant Acceleration
123,24.31209415548843,23.6837935680639,10.0,Constant Acceleration
124,24.41520243824819,23.577486929258583,10.0,Constant Acceleration
125,24.51784589074728,23.470731409088348,10.0,Constant Acceleration
126,24.62002255880233,23.363529040024417,10.0,Constant Acceleration
127,24.721730497116855,23.255881863045364,10.0,Constant Acceleration
128,24.82296776931832,23.14779192759827,10.0,Constant Acceleration
129,24.923732447994997,23.0392612915597,10.0,Constant Acceleration
130,25.024022614732647,22.930292021196518,10.0,Constant Acceleration
131,25.123836360151067,22.820886191126558,10.0,Constant Acceleration
132,25.22317178394042,22.711045884279116,10.0,Constant Acceleration
133,25.322026994897428,22.600773191855307,10.0,Constant Acceleration
134,25.420400110961367,22.490070213288238,10.0,Constant Acceleration
135,25.51828925924991,22.378939056203045,10.0,Constant Acceleration
136,25.615692576094784,22.26738183637677,10.0,Constant Acceleration
137,25.71260820707723,22.155400677698072,10.0,Constant Acceleration
138,25.809034307063346,22.04299771212679,10.0,Constant Acceleration
139,25.904969040239173,21.930175079653367,10.0,Constant Acceleration
140,26.000410580145687,21.816934928258092,10.0,Constant Acceleration
141,26.095357109713536,21.70327941387022,10.0,Constant Acceleration
142,26.189806821297662,21.589210700326912,10.0,Constant Acceleration
143,26.283757916711707,21.474730959332046,10.0,Constant Acceleration
144,26.377208607262236,21.359842370414874,10.0,Constant Acceleration
145,26.470157113782815,21.24454712088852,10.0,Constant Acceleration
146,26.562601666667856,21.128847405808337,10.0,Constant Acceleration
147,26.65454050590633,21.012745427930124,10.0,Constant Acceleration
148,26.745971881115263,20.896243397668187,10.0,Constant Acceleration
149,26.836894051573072,20.779343533053243,10.0,Constant Acceleration
150,26.927305286252686,20.66204805969021,10.0,Constant Acceleration
151,27.017203863854522,20.54435921071582,10.0,Constant Acceleration
152,27.106588072839255,20.426279226756115,10.0,Constant Acceleration
153,27.195456211460385,20.30781035588378,10.0,Constant Acceleration
154,27.283806587796658,20.18895485357535,10.0,Constant Acceleration
155,27.371637519784258,20.069714982668255,10.0,Constant Acceleration
156,27.458947335248848,19.950093013317765,10.0,Constant Acceleration
157,27.545734371937392,19.83009122295374,10.0,Constant Acceleration
158,27.631996977549818,19.70971189623729,10.0,Constant Acceleration
159,27.717733509770454,19.588957325017276,10.0,Constant Acceleration
160,27.80294233629932,19.467829808286666,10.0,Constant Acceleration
161,27.887621834883184,19.34633165213878,10.0,Constant Acceleration
162,27.97177039334645,19.224465169723373,10.0,Constant Acceleration
163,28.055386409621867,19.102232681202604,10.0,Constant Acceleration
164,28.138468291781013,18.97963651370686,10.0,Constant Acceleration
165,28.221014458064612,18.856679001290455,10.0,Constant Acceleration
166,28.30302333691265,18.73336248488718,10.0,Constant Acceleration
167,28.384493366994278,18.609689312265754,10.0,Constant Acceleration
168,28.465422997237564,18.485661837985113,10.0,Constant Acceleration
169,28.545810686859006,18.361282423349582,10.0,Constant Acceleration
